epoch,train_loss,train_accuracy,test_accuracy
0,0.07278408499603922,0.015083931587837838,0.02182178217821782
1,0.06962952248752118,0.030656144425675675,0.042851485148514855
2,0.06702269753271883,0.05188978040540541,0.06748514851485149
3,0.06416285457597538,0.08051361908783784,0.09413861386138614
4,0.0616710438714786,0.10668285472972973,0.11504950495049505
5,0.05898869142613628,0.13537267736486486,0.14336633663366335
6,0.05631567047739571,0.16543496621621623,0.1849108910891089
7,0.053617294630543766,0.19723923141891891,0.20803960396039603
8,0.05092707944525914,0.22732791385135134,0.2236831683168317
9,0.048455860110169106,0.25968644425675674,0.2325940594059406
10,0.046208669594065714,0.2868586359797297,0.2613861386138614
11,0.04422417312183164,0.31263196790540543,0.298019801980198
12,0.04241217601705682,0.33435388513513514,0.31904950495049506
13,0.04063588935035197,0.35922983530405406,0.32063366336633664
14,0.03908465279096907,0.37926256334459457,0.32962376237623764
15,0.037510910604826427,0.40380859375,0.3482376237623762
16,0.036008456994525415,0.4250554265202703,0.32621782178217823
17,0.03471021776849573,0.43959828969594594,0.378019801980198
18,0.03352767805484208,0.45567198057432434,0.37065346534653465
19,0.032433216043493966,0.4709670608108108,0.4064158415841584
20,0.03145754272795536,0.48285736908783783,0.4067326732673267
21,0.030463895477693185,0.49579022381756754,0.41235643564356433
22,0.02969452306120233,0.5096072635135135,0.39085148514851487
23,0.028833577494052322,0.5185414907094594,0.41837623762376236
24,0.02803594269959087,0.531078441722973,0.42087128712871286
25,0.027395344714380123,0.5389965160472973,0.41326732673267325
26,0.026610155447640203,0.5483530405405406,0.41988118811881187
27,0.02605047425085848,0.5594119510135135,0.4278019801980198
28,0.02546960673802956,0.5670396959459459,0.40344554455445547
29,0.024841203696348454,0.5747202280405406,0.4394059405940594
30,0.01178712973963808,0.8035525760135135,0.5732277227722772
